timestamp,pm25,pm10,NO (ug/m3),no2,NOx (ppb),NH3 (ug/m3),so2,co,o3,Benzene (ug/m3),Toluene (ug/m3),AT (degC),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),latitude,longitude,station
2024-01-01 00:00:00,160.75,262.25,25.125,44.8,44.225,19.6,3.825,1.5925,20.175,2.1750000000000003,5.975,11.5,80.25,0.3,53.75,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 01:00:00,170.5,254.0,22.1,49.275,44.2,18.275,3.925,1.5125,19.225,2.125,7.25,11.425,80.0,0.3,56.25,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 02:00:00,172.5,243.25,13.674999999999999,45.2,35.15,24.9,2.675,1.5975,17.725,2.05,5.825,11.350000000000001,80.0,0.3,46.75,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 03:00:00,170.0,217.75,15.425,40.05,33.825,21.675,1.0,1.5025,15.55,2.1,5.8,11.4,80.0,0.3,28.25,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 04:00:00,183.0,241.5,12.774999999999999,39.15,31.175,19.775,1.0,1.48,15.475,2.25,4.4,11.3,80.0,0.3,69.75,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 05:00:00,173.25,254.75,55.375,51.55,72.6,16.424999999999997,0.5,1.56,14.975,2.275,4.875,11.225,80.0,0.325,34.25,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 06:00:00,162.25,265.5,51.2,38.95,62.35,13.45,2.0999999999999996,1.4175,15.25,2.075,4.75,11.125,80.5,0.525,80.0,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 07:00:00,162.5,278.25,51.025,42.675,64.225,13.675,1.8666666666666665,1.3725,15.375,1.9249999999999998,3.65,11.0,80.25,0.375,31.5,25.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 08:00:00,160.0,286.25,49.8,42.825,63.325,14.475,3.15,1.4925,15.1,1.95,4.725,10.975,80.0,0.65,68.0,127.5,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 09:00:00,162.25,364.75,57.7,51.3,74.225,16.875,0.675,1.505,15.45,2.0,3.7,11.1,78.5,0.425,36.5,298.75,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 10:00:00,174.25,562.75,37.900000000000006,45.9,55.25,24.674999999999997,0.7999999999999999,1.69,16.125,2.125,3.525,11.55,75.25,0.675,41.75,346.25,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 11:00:00,168.0,250.25,55.55,59.225,76.67500000000001,20.45,1.075,1.75,16.375,2.2,4.775,12.625,69.5,0.44999999999999996,61.5,361.75,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 12:00:00,189.75,286.75,23.075,60.35,50.875,18.45,1.0666666666666667,1.8125,20.175,2.45,5.675,13.5,64.75,0.425,91.75,370.25,741.75,28.6492,77.2918,Anand_Vihar
2024-01-01 13:00:00,214.0,322.25,51.0,82.825,85.55,17.575,3.1666666666666665,1.8875000000000002,23.35,2.7,7.425,14.325,61.5,0.3,62.0,365.75,741.0,28.6492,77.2918,Anand_Vihar
2024-01-01 14:00:00,227.5,364.75,47.875,83.525,83.67500000000001,14.525,4.7,1.875,22.6,3.1,9.375,14.05,62.5,0.6,100.0,358.5,741.75,28.6492,77.2918,Anand_Vihar
2024-01-01 15:00:00,222.25,399.5,41.925,69.075,70.65,13.125,4.225,1.5675,22.675,2.925,10.875,13.425,65.75,0.75,98.0,345.5,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 16:00:00,192.75,364.75,33.125,67.175,62.64999999999999,13.075,3.233333333333334,1.505,19.725,2.4,21.05,12.6,70.25,0.525,86.5,280.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 17:00:00,193.25,339.75,56.1,57.1,75.95,20.3,18.65,1.6425,15.875,2.175,17.975,11.85,74.5,0.4,65.25,47.75,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 18:00:00,196.75,317.5,54.75,56.85,74.725,25.225,20.85,1.65,14.825,2.35,14.175,11.5,76.0,0.4,72.5,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 19:00:00,206.5,323.0,37.15,59.375,61.775,22.025,21.2,1.61,14.875,2.25,11.725000000000001,11.175,77.0,0.325,68.75,5.0,742.0,28.6492,77.2918,Anand_Vihar
2024-01-01 20:00:00,251.25,400.0,39.2,66.15,67.0,20.225,22.05,1.5825,14.5,2.175,8.6,11.0,78.75,0.325,30.0,5.0,742.0,28.6492,77.2918,Anand_Vihar
