timestamp,pm25,pm10,NO (ug/m3),no2,NOx (ppb),NH3 (ug/m3),so2,co,o3,AT (degC),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),latitude,longitude,station
2024-01-01 00:00:00,190.0,266.0,17.725,61.2,47.025,29.5,25.85,1.35,15.275,10.5,75.225,0.325,177.0,5.375,991.9,1.025,28.5601,77.1835,RK_Puram
2024-01-01 01:00:00,191.0,283.0,14.15,62.95,45.025,34.025,27.3,1.275,19.4,10.3,75.675,0.375,191.5,5.325,991.925,1.0,28.5601,77.1835,RK_Puram
2024-01-01 02:00:00,183.75,278.5,8.1,67.80000000000001,42.65,25.95,26.9,1.2,16.5,10.225,75.75,0.45,191.25,5.275,991.925,0.925,28.5601,77.1835,RK_Puram
2024-01-01 03:00:00,182.5,272.75,3.925,66.45,38.55,20.0,24.25,1.225,15.625,9.95,75.42500000000001,0.4,200.75,5.15,991.9,0.95,28.5601,77.1835,RK_Puram
2024-01-01 04:00:00,193.75,279.75,7.0,65.675,40.6,23.25,26.075000000000003,1.35,11.75,10.025,75.625,0.3,186.0,5.075,991.9,0.9,28.5601,77.1835,RK_Puram
2024-01-01 05:00:00,203.75,308.75,5.075,59.625,35.825,23.2,26.65,1.225,11.625,10.075,75.475,0.35,179.0,5.1,991.9,0.8250000000000001,28.5601,77.1835,RK_Puram
2024-01-01 06:00:00,199.0,300.0,3.85,54.25,32.0,21.825,25.475,1.2,12.2,10.025,75.14999999999999,0.325,209.75,5.125,991.9,0.8,28.5601,77.1835,RK_Puram
2024-01-01 07:00:00,195.5,300.0,5.65,46.575,29.325,22.975,22.625,1.05,15.75,9.775,74.775,0.425,207.25,8.1,991.925,0.8500000000000001,28.5601,77.1835,RK_Puram
2024-01-01 08:00:00,194.5,295.0,7.375,46.0,30.5,26.35,24.4,1.0,16.0,9.775,74.55,0.35,195.25,17.6,991.9,1.0,28.5601,77.1835,RK_Puram
2024-01-01 09:00:00,192.0,303.5,9.6,47.925,33.325,24.75,23.6,0.95,18.325,10.175,72.725,0.425,183.25,38.775,991.9,1.05,28.5601,77.1835,RK_Puram
2024-01-01 10:00:00,181.25,293.75,12.25,54.95,39.225,25.225,23.25,1.025,24.275,10.9,69.475,0.625,188.75,75.6,991.8,1.175,28.5601,77.1835,RK_Puram
2024-01-01 11:00:00,197.25,306.25,13.05,51.325,37.925,20.525,23.525,1.2,33.9,12.65,64.35,0.825,175.5,191.5,991.775,1.2,28.5601,77.1835,RK_Puram
2024-01-01 12:00:00,226.0,331.25,6.55,51.025,32.475,20.65,24.175,1.0,54.825,14.775,57.45,0.8,197.75,215.35,991.8,1.4249999999999998,28.5601,77.1835,RK_Puram
2024-01-01 13:00:00,208.25,322.25,5.75,60.225,36.725,19.95,23.775,1.0,75.925,16.325000000000003,53.275,0.675,210.5,190.625,991.75,1.275,28.5601,77.1835,RK_Puram
2024-01-01 14:00:00,232.75,365.75,5.15,57.05,34.525,21.35,23.575,1.25,89.225,15.85,54.875,0.825,193.5,115.4,991.725,1.4,28.5601,77.1835,RK_Puram
2024-01-01 15:00:00,244.25,411.5,3.925,51.325,30.525,22.125,21.45,1.1,80.45,14.525,58.475,0.8,183.75,63.45,991.8,1.4249999999999998,28.5601,77.1835,RK_Puram
2024-01-01 16:00:00,224.25,377.25,4.4,48.25,29.25,24.975,22.025,1.0750000000000002,60.1,12.8,63.15,0.625,175.25,30.7,991.8,1.325,28.5601,77.1835,RK_Puram
2024-01-01 17:00:00,202.75,346.75,6.825,51.3,32.825,25.725,21.025,1.025,30.575,10.9,68.975,0.675,174.75,8.625,991.85,1.3,28.5601,77.1835,RK_Puram
2024-01-01 18:00:00,165.75,279.5,15.575,59.075,44.1,27.175,21.525,1.2,12.725,9.95,72.45,0.55,177.5,5.3,991.875,1.225,28.5601,77.1835,RK_Puram
2024-01-01 19:00:00,180.75,283.0,5.875,48.675,30.675,20.525,21.125,1.0750000000000002,15.625,9.825,72.4,0.5,197.75,5.075,991.8,1.125,28.5601,77.1835,RK_Puram
2024-01-01 20:00:00,214.5,323.75,7.449999999999999,56.75,36.2,21.475,22.55,1.05,12.5,9.7,72.6,0.4,193.5,5.074999999999999,991.8,1.05,28.5601,77.1835,RK_Puram
2024-01-01 21:00:00,261.0,413.75,6.199999999999999,61.95,38.025,20.6,22.475,1.05,12.45,9.6,73.025,0.35,184.5,5.05,991.8,0.925,28.5601,77.1835,RK_Puram
2024-01-01 22:00:00,278.75,450.25,5.05,55.575,33.675000000000004,23.0,22.575,1.1,18.625,9.45,73.525,0.4,180.25,5.05,991.85,0.8500000000000001,28.5601,77.1835,RK_Puram
2024-01-01 23:00:00,277.75,441.5,5.5,55.725,34.075,23.05,19.775,0.975,15.275,9.15,73.475,0.4,185.0,5.375,991.875,0.8,28.5601,77.1835,RK_Puram
2024-01-02 00:00:00,270.5,423.75,3.775,55.275,32.475,26.175,16.325,0.8,13.75,8.725,72.95,0.4499999999999999,186.0,5.275,991.85,0.8500000000000001,28.5601,77.1835,RK_Puram
2024-01-02 01:00:00,242.25,384.25,4.2,55.900000000000006,33.15,28.55,15.05,0.625,11.2,8.225,72.95,0.4,180.0,5.25,991.825,1.25,28.5601,77.1835,RK_Puram
2024-01-02 02:00:00,206.25,315.5,5.5,56.45,34.55,21.4,14.6,0.6,9.85,8.15,73.25,0.375,180.25,5.15,991.825,1.675,28.5601,77.1835,RK_Puram
2024-01-02 03:00:00,171.75,257.0,2.125,48.55,27.5,18.175,12.325,0.55,12.125,7.95,73.125,0.425,188.0,5.074999999999999,991.8,1.725,28.5601,77.1835,RK_Puram
2024-01-02 04:00:00,149.5,212.75,3.025,39.625,23.5,17.45,12.75,0.5,13.25,7.75,73.375,0.45,187.75,5.025,991.8,1.725,28.5601,77.1835,RK_Puram
2024-01-02 05:00:00,134.25,194.75,3.975,38.1,23.525,17.725,12.525,0.5,12.95,7.775,73.7,0.575,175.5,4.975,991.8,1.7,28.5601,77.1835,RK_Puram
2024-01-02 06:00:00,153.25,223.5,3.525,37.25,22.675,17.775,11.475,0.5,11.475,7.45,73.575,0.45,190.0,5.075,991.825,1.7,28.5601,77.1835,RK_Puram
2024-01-02 07:00:00,180.5,259.75,6.050000000000001,40.15,26.275,19.275,11.25,0.525,11.475,7.475,73.05,0.525,188.75,9.3,991.85,1.7,28.5601,77.1835,RK_Puram
2024-01-02 08:00:00,214.0,306.0,11.55,42.2,31.875,24.625,14.425,0.6499999999999999,12.625,7.85,72.05,0.425,202.0,26.725,991.85,1.8,28.5601,77.1835,RK_Puram
2024-01-02 09:00:00,242.5,354.25,16.525,42.45,36.05,23.8,15.225,0.7,15.775,8.725,69.25,0.55,195.75,69.825,991.8,1.825,28.5601,77.1835,RK_Puram
2024-01-02 10:00:00,253.25,370.25,18.975,43.475,38.6,22.125,14.175,0.75,21.825,10.15,64.4,0.9,166.0,152.125,991.8,1.975,28.5601,77.1835,RK_Puram
2024-01-02 11:00:00,244.5,362.0,15.333333333333334,48.43333333333334,38.23333333333333,18.566666666666663,13.4,0.8000000000000002,24.066666666666663,12.5,57.45,0.9,166.0,231.025,991.775,1.975,28.5601,77.1835,RK_Puram
2024-01-02 12:00:00,239.75,358.25,12.275,57.125,40.35,18.7,14.375,1.0,41.93333333333334,14.65,51.275,0.675,201.25,256.925,991.725,1.85,28.5601,77.1835,RK_Puram
2024-01-02 13:00:00,222.75,339.75,9.6,62.14999999999999,40.875,19.575,12.925,1.1,60.55,15.9,48.35,0.75,194.0,227.9,991.7,1.825,28.5601,77.1835,RK_Puram
2024-01-02 14:00:00,194.5,317.0,5.35,61.5,37.05,21.675,11.825,1.2,98.8,16.225,46.525,0.65,195.5,125.9,991.75,1.7,28.5601,77.1835,RK_Puram
2024-01-02 15:00:00,171.25,306.5,5.325,62.975,37.825,22.325,9.9,1.25,98.125,15.4,49.55,0.425,216.75,57.55,991.775,1.725,28.5601,77.1835,RK_Puram
2024-01-02 16:00:00,159.25,285.5,3.625,62.875,36.4,23.675,10.625,1.2,94.025,13.95,52.825,0.35,191.5,29.2,991.8,1.7,28.5601,77.1835,RK_Puram
2024-01-02 17:00:00,162.25,297.0,6.25,88.67500000000001,52.275000000000006,24.35,11.425,1.475,41.7,11.65,59.8,0.3,187.0,8.725,991.8,1.9,28.5601,77.1835,RK_Puram
2024-01-02 18:00:00,196.25,338.5,76.57499999999999,102.7,117.05,28.925,16.950000000000003,2.2,13.7,9.7,68.875,0.3,174.25,5.15,991.9,1.95,28.5601,77.1835,RK_Puram
2024-01-02 19:00:00,273.0,426.25,98.8,55.9,110.3,17.9,29.025,,15.5,8.65,73.95,0.3,173.75,5.325,992.075,1.925,28.5601,77.1835,RK_Puram
