time,temperature_2m,relative_humidity_2m,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,station,latitude,longitude
2023-01-01 00:00:00,8.5,92,1019.9,994.2,9.4,293,0.0,0,70.0,Jahangirpuri,28.7256,77.1556
2023-01-01 01:00:00,8.1,93,1019.9,994.1,8.8,289,0.0,0,70.0,Jahangirpuri,28.7256,77.1556
2023-01-01 02:00:00,7.4,95,1019.7,993.9,7.9,286,0.0,10,70.0,Jahangirpuri,28.7256,77.1556
2023-01-01 03:00:00,7.0,96,1019.5,993.7,7.7,281,0.0,99,60.0,Jahangirpuri,28.7256,77.1556
2023-01-01 04:00:00,7.1,96,1019.5,993.7,7.5,287,0.0,100,60.0,Jahangirpuri,28.7256,77.1556
2023-01-01 05:00:00,7.3,97,1020.1,994.3,7.2,267,0.0,98,55.0,Jahangirpuri,28.7256,77.1556
2023-01-01 06:00:00,7.5,97,1020.7,994.9,7.5,253,0.0,100,50.0,Jahangirpuri,28.7256,77.1556
2023-01-01 07:00:00,7.6,97,1021.2,995.4,7.5,253,0.0,64,45.0,Jahangirpuri,28.7256,77.1556
2023-01-01 08:00:00,8.8,94,1021.7,996.0,6.3,257,0.0,8,70.0,Jahangirpuri,28.7256,77.1556
2023-01-01 09:00:00,11.2,89,1022.6,997.1,5.1,262,0.0,0,135.0,Jahangirpuri,28.7256,77.1556
2023-01-01 10:00:00,13.7,81,1023.1,997.8,5.4,262,0.0,0,270.0,Jahangirpuri,28.7256,77.1556
2023-01-01 11:00:00,15.6,74,1022.6,997.4,5.4,274,0.0,0,610.0,Jahangirpuri,28.7256,77.1556
2023-01-01 12:00:00,16.9,68,1021.4,996.4,5.4,278,0.0,0,870.0,Jahangirpuri,28.7256,77.1556
2023-01-01 13:00:00,17.7,64,1020.4,995.5,5.2,282,0.0,0,1025.0,Jahangirpuri,28.7256,77.1556
2023-01-01 14:00:00,18.1,61,1019.6,994.7,4.3,294,0.0,25,1115.0,Jahangirpuri,28.7256,77.1556
2023-01-01 15:00:00,18.2,58,1019.2,994.3,3.8,311,0.0,51,1125.0,Jahangirpuri,28.7256,77.1556
2023-01-01 16:00:00,17.7,62,1019.4,994.5,3.6,315,0.0,26,1080.0,Jahangirpuri,28.7256,77.1556
2023-01-01 17:00:00,17.0,63,1019.9,994.9,3.0,346,0.0,71,40.0,Jahangirpuri,28.7256,77.1556
2023-01-01 18:00:00,16.0,67,1020.2,995.1,1.1,108,0.0,33,15.0,Jahangirpuri,28.7256,77.1556
2023-01-01 19:00:00,15.2,71,1020.6,995.5,3.3,186,0.0,59,15.0,Jahangirpuri,28.7256,77.1556
2023-01-01 20:00:00,12.3,85,1021.2,995.8,6.6,202,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-01 21:00:00,11.5,85,1021.2,995.7,6.2,216,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-01 22:00:00,11.5,84,1021.4,995.9,5.1,274,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-01 23:00:00,9.8,91,1021.3,995.7,5.7,305,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-02 00:00:00,9.3,92,1021.2,995.5,5.1,315,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 01:00:00,8.7,93,1020.8,995.1,5.7,342,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 02:00:00,8.0,95,1020.3,994.5,7.2,354,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-02 03:00:00,7.6,97,1020.3,994.5,6.8,342,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-02 04:00:00,7.9,96,1019.9,994.1,5.2,344,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 05:00:00,7.3,95,1020.7,994.9,4.7,279,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 06:00:00,6.7,98,1021.4,995.5,5.8,263,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 07:00:00,6.6,98,1022.3,996.4,5.2,258,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 08:00:00,8.0,97,1023.0,997.2,3.7,259,0.0,0,40.0,Jahangirpuri,28.7256,77.1556
2023-01-02 09:00:00,10.6,92,1023.7,998.1,2.6,286,0.0,0,80.0,Jahangirpuri,28.7256,77.1556
2023-01-02 10:00:00,13.5,84,1024.1,998.7,2.6,304,0.0,0,340.0,Jahangirpuri,28.7256,77.1556
2023-01-02 11:00:00,15.4,76,1023.3,998.1,2.3,321,0.0,0,950.0,Jahangirpuri,28.7256,77.1556
2023-01-02 12:00:00,16.7,65,1022.3,997.2,2.6,326,0.0,0,1020.0,Jahangirpuri,28.7256,77.1556
2023-01-02 13:00:00,17.4,58,1021.3,996.3,3.5,336,0.0,0,1050.0,Jahangirpuri,28.7256,77.1556
2023-01-02 14:00:00,17.7,56,1020.4,995.5,4.1,345,0.0,0,1095.0,Jahangirpuri,28.7256,77.1556
2023-01-02 15:00:00,17.6,54,1019.8,994.9,5.4,8,0.0,0,1030.0,Jahangirpuri,28.7256,77.1556
2023-01-02 16:00:00,17.1,59,1019.9,994.9,5.0,21,0.0,0,985.0,Jahangirpuri,28.7256,77.1556
2023-01-02 17:00:00,15.3,69,1020.6,995.5,2.6,16,0.0,0,20.0,Jahangirpuri,28.7256,77.1556
2023-01-02 18:00:00,14.1,75,1021.3,996.0,1.8,37,0.0,0,10.0,Jahangirpuri,28.7256,77.1556
2023-01-02 19:00:00,13.1,80,1022.0,996.6,1.1,90,0.0,0,10.0,Jahangirpuri,28.7256,77.1556
2023-01-02 20:00:00,12.4,83,1022.4,997.0,1.8,127,0.0,0,10.0,Jahangirpuri,28.7256,77.1556
2023-01-02 21:00:00,11.9,86,1022.6,997.1,1.0,135,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-02 22:00:00,11.1,90,1022.6,997.1,1.8,349,0.0,0,15.0,Jahangirpuri,28.7256,77.1556
2023-01-02 23:00:00,9.7,94,1022.4,996.7,4.3,360,0.0,0,10.0,Jahangirpuri,28.7256,77.1556
2023-01-03 00:00:00,8.2,97,1022.2,996.4,5.4,4,0.0,0,10.0,Jahangirpuri,28.7256,77.1556
2023-01-03 01:00:00,7.1,99,1021.8,995.9,7.1,15,0.0,9,10.0,Jahangirpuri,28.7256,77.1556
2023-01-03 02:00:00,6.6,100,1022.0,996.1,6.2,10,0.0,20,15.0,Jahangirpuri,28.7256,77.1556
2023-01-03 03:00:00,6.9,100,1021.6,995.7,4.0,27,0.0,98,10.0,Jahangirpuri,28.7256,77.1556
2023-01-03 04:00:00,6.8,99,1021.7,995.8,1.0,45,0.0,100,15.0,Jahangirpuri,28.7256,77.1556
2023-01-03 05:00:00,5.2,98,1021.9,995.8,2.2,270,0.0,100,20.0,Jahangirpuri,28.7256,77.1556
2023-01-03 06:00:00,5.9,99,1022.5,996.5,3.6,276,0.0,100,30.0,Jahangirpuri,28.7256,77.1556
2023-01-03 07:00:00,6.2,99,1023.4,997.4,4.0,265,0.0,100,35.0,Jahangirpuri,28.7256,77.1556
2023-01-03 08:00:00,7.2,97,1024.4,998.5,2.9,277,0.0,100,45.0,Jahangirpuri,28.7256,77.1556
2023-01-03 09:00:00,8.7,97,1025.1,999.3,2.6,286,0.0,100,80.0,Jahangirpuri,28.7256,77.1556
2023-01-03 10:00:00,9.9,95,1025.3,999.6,3.4,288,0.0,100,145.0,Jahangirpuri,28.7256,77.1556
2023-01-03 11:00:00,12.4,89,1025.0,999.5,5.0,300,0.0,75,460.0,Jahangirpuri,28.7256,77.1556
