time,temperature_2m,relative_humidity_2m,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,station,latitude,longitude
2023-01-01 00:00:00,9.4,91,1019.9,992.5,9.0,293,0.0,0,75.0,Okhla_Phase-2,28.523,77.268
2023-01-01 01:00:00,9.1,92,1020.0,992.5,8.9,291,0.0,0,80.0,Okhla_Phase-2,28.523,77.268
2023-01-01 02:00:00,8.6,93,1019.6,992.1,8.1,291,0.0,4,80.0,Okhla_Phase-2,28.523,77.268
2023-01-01 03:00:00,8.3,93,1019.4,991.9,8.4,295,0.0,64,65.0,Okhla_Phase-2,28.523,77.268
2023-01-01 04:00:00,8.2,94,1019.4,991.9,8.4,295,0.0,47,70.0,Okhla_Phase-2,28.523,77.268
2023-01-01 05:00:00,8.5,95,1020.0,992.5,8.2,293,0.0,72,60.0,Okhla_Phase-2,28.523,77.268
2023-01-01 06:00:00,8.3,96,1020.6,993.0,7.9,286,0.0,100,55.0,Okhla_Phase-2,28.523,77.268
2023-01-01 07:00:00,8.6,95,1021.1,993.6,7.9,286,0.0,12,45.0,Okhla_Phase-2,28.523,77.268
2023-01-01 08:00:00,10.0,91,1021.6,994.2,8.9,284,0.0,27,70.0,Okhla_Phase-2,28.523,77.268
2023-01-01 09:00:00,12.5,84,1022.5,995.3,5.4,274,0.0,0,130.0,Okhla_Phase-2,28.523,77.268
2023-01-01 10:00:00,14.9,75,1023.0,996.0,4.4,279,0.0,0,285.0,Okhla_Phase-2,28.523,77.268
2023-01-01 11:00:00,16.6,67,1022.5,995.7,3.9,292,0.0,0,665.0,Okhla_Phase-2,28.523,77.268
2023-01-01 12:00:00,17.6,64,1021.3,994.6,3.5,294,0.0,0,910.0,Okhla_Phase-2,28.523,77.268
2023-01-01 13:00:00,18.3,60,1020.4,993.8,4.7,302,0.0,0,1055.0,Okhla_Phase-2,28.523,77.268
2023-01-01 14:00:00,18.6,57,1019.5,992.9,5.4,323,0.0,4,1150.0,Okhla_Phase-2,28.523,77.268
2023-01-01 15:00:00,18.5,56,1019.2,992.6,5.5,337,0.0,28,1160.0,Okhla_Phase-2,28.523,77.268
2023-01-01 16:00:00,17.6,62,1019.3,992.7,5.2,348,0.0,24,1110.0,Okhla_Phase-2,28.523,77.268
2023-01-01 17:00:00,14.6,74,1020.0,993.1,7.5,17,0.0,67,30.0,Okhla_Phase-2,28.523,77.268
2023-01-01 18:00:00,15.6,67,1020.3,993.4,5.9,52,0.0,37,15.0,Okhla_Phase-2,28.523,77.268
2023-01-01 19:00:00,15.0,68,1020.6,993.7,3.3,131,0.0,33,15.0,Okhla_Phase-2,28.523,77.268
2023-01-01 20:00:00,14.4,70,1021.3,994.3,0.8,243,0.0,1,15.0,Okhla_Phase-2,28.523,77.268
2023-01-01 21:00:00,10.7,86,1021.2,993.9,4.1,232,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-01 22:00:00,10.1,87,1021.4,994.0,5.6,243,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-01 23:00:00,10.7,83,1021.2,993.9,5.2,254,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 00:00:00,11.1,81,1021.1,993.8,4.6,309,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 01:00:00,8.4,93,1020.8,993.3,8.2,337,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 02:00:00,7.7,97,1020.2,992.6,8.7,322,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 03:00:00,8.0,97,1020.2,992.6,6.1,315,0.0,0,15.0,Okhla_Phase-2,28.523,77.268
2023-01-02 04:00:00,7.3,97,1019.9,992.3,8.2,311,0.0,0,15.0,Okhla_Phase-2,28.523,77.268
2023-01-02 05:00:00,7.0,97,1020.7,993.0,6.4,297,0.0,13,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 06:00:00,6.9,97,1021.3,993.6,6.2,280,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 07:00:00,6.7,97,1022.2,994.5,5.6,285,0.0,3,20.0,Okhla_Phase-2,28.523,77.268
2023-01-02 08:00:00,9.3,93,1022.9,995.4,6.2,291,0.0,0,35.0,Okhla_Phase-2,28.523,77.268
2023-01-02 09:00:00,12.7,83,1023.6,996.4,4.1,315,0.0,0,100.0,Okhla_Phase-2,28.523,77.268
2023-01-02 10:00:00,15.2,73,1023.9,996.9,3.4,328,0.0,0,910.0,Okhla_Phase-2,28.523,77.268
2023-01-02 11:00:00,16.8,64,1023.1,996.3,2.2,9,0.0,0,975.0,Okhla_Phase-2,28.523,77.268
2023-01-02 12:00:00,17.7,56,1022.1,995.4,2.3,18,0.0,0,1040.0,Okhla_Phase-2,28.523,77.268
2023-01-02 13:00:00,18.2,52,1021.1,994.5,3.4,18,0.0,0,1075.0,Okhla_Phase-2,28.523,77.268
2023-01-02 14:00:00,18.4,51,1020.2,993.6,4.9,17,0.0,0,1110.0,Okhla_Phase-2,28.523,77.268
2023-01-02 15:00:00,18.1,52,1019.6,993.0,6.4,27,0.0,0,1055.0,Okhla_Phase-2,28.523,77.268
2023-01-02 16:00:00,17.1,60,1019.9,993.2,4.7,32,0.0,0,1000.0,Okhla_Phase-2,28.523,77.268
2023-01-02 17:00:00,14.0,73,1020.7,993.7,5.7,18,0.0,0,20.0,Okhla_Phase-2,28.523,77.268
