time,temperature_2m,relative_humidity_2m,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,station,latitude,longitude
2023-01-01 00:00:00,8.7,92,1019.9,993.2,9.4,288,0.0,0,70.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 01:00:00,8.3,92,1020.0,993.3,8.8,282,0.0,0,70.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 02:00:00,7.7,93,1019.7,993.0,8.3,275,0.0,4,70.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 03:00:00,7.3,95,1019.5,992.7,8.0,275,0.0,100,60.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 04:00:00,7.3,95,1019.5,992.7,7.7,281,0.0,100,60.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 05:00:00,7.4,97,1020.1,993.3,7.2,270,0.0,86,55.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 06:00:00,7.7,96,1020.7,993.9,7.8,257,0.0,99,50.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 07:00:00,7.7,96,1021.2,994.4,7.8,257,0.0,42,45.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 08:00:00,9.1,93,1021.7,995.0,6.2,260,0.0,8,70.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 09:00:00,11.5,87,1022.6,996.1,5.8,263,0.0,0,135.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 10:00:00,13.9,79,1023.1,996.8,5.8,266,0.0,0,270.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 11:00:00,15.7,72,1022.6,996.5,5.8,277,0.0,0,610.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 12:00:00,16.9,68,1021.4,995.4,5.6,285,0.0,0,870.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 13:00:00,17.6,64,1020.5,994.6,5.6,297,0.0,0,1025.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 14:00:00,18.1,59,1019.6,993.8,5.1,309,0.0,25,1115.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 15:00:00,18.1,57,1019.2,993.4,4.6,321,0.0,44,1125.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 16:00:00,17.7,60,1019.4,993.6,4.3,318,0.0,23,1080.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 17:00:00,17.0,62,1019.9,994.0,2.3,321,0.0,75,40.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 18:00:00,16.0,66,1020.2,994.2,1.3,146,0.0,45,15.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 19:00:00,15.1,70,1020.6,994.5,3.6,186,0.0,50,15.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 20:00:00,12.4,84,1021.2,994.9,6.6,202,0.0,1,15.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 21:00:00,11.4,85,1021.2,994.8,7.2,207,0.0,0,15.0,Punjabi_Bagh,28.6692,77.1285
2023-01-01 22:00:00,11.7,81,1021.4,995.0,5.3,242,0.0,0,15.0,Punjabi_Bagh,28.6692,77.1285
