model,horizon_hours,mae,rmse,r2,mape,n_samples,coverage_target,coverage_q,coverage_measured,test_period_start,test_period_end
persistence,1,0.5015,0.8864,0.5997,73.6475,17057,0.85,0.493,0.7046,2025-08-09 02:00:00,2025-12-31 22:45:00
random_forest,1,0.3741,0.642,0.79,90.0232,17057,0.85,0.405,0.7276,2025-08-09 02:00:00,2025-12-31 22:45:00
xgboost,1,0.3734,0.6494,0.7851,97.2943,17057,0.85,0.404,0.7288,2025-08-09 02:00:00,2025-12-31 22:45:00
persistence,6,1.0622,1.6855,-0.4466,112.0362,17032,0.85,0.922,0.6448,2025-08-09 02:00:00,2025-12-31 17:45:00
random_forest,6,0.5808,0.9348,0.555,117.0325,17032,0.85,0.63,0.7067,2025-08-09 02:00:00,2025-12-31 17:45:00
xgboost,6,0.5749,0.9209,0.5682,122.0032,17032,0.85,0.639,0.713,2025-08-09 02:00:00,2025-12-31 17:45:00
persistence,12,1.1725,1.8123,-0.6713,152.2557,17002,0.85,0.982,0.6213,2025-08-09 02:00:00,2025-12-31 11:45:00
random_forest,12,0.6006,0.9511,0.5397,125.8699,17002,0.85,0.627,0.6916,2025-08-09 02:00:00,2025-12-31 11:45:00
xgboost,12,0.623,0.9765,0.5148,128.6425,17002,0.85,0.688,0.703,2025-08-09 02:00:00,2025-12-31 11:45:00
persistence,24,0.6836,1.1536,0.3243,119.9738,16942,0.85,0.735,0.7218,2025-08-09 02:00:00,2025-12-30 23:30:00
random_forest,24,0.6241,0.9898,0.5025,116.2328,16942,0.85,0.664,0.6976,2025-08-09 02:00:00,2025-12-30 23:30:00
xgboost,24,0.6463,1.0304,0.4608,123.2245,16942,0.85,0.66,0.6932,2025-08-09 02:00:00,2025-12-30 23:30:00
persistence,48,0.7531,1.2557,0.2021,137.0109,16822,0.85,0.832,0.7289,2025-08-09 02:00:00,2025-12-29 23:15:00
random_forest,48,0.678,1.0476,0.4447,123.1185,16822,0.85,0.725,0.6901,2025-08-09 02:00:00,2025-12-29 23:15:00
xgboost,48,0.6968,1.067,0.4239,127.0667,16822,0.85,0.72,0.6794,2025-08-09 02:00:00,2025-12-29 23:15:00
persistence,72,0.7863,1.2875,0.1641,127.1058,16702,0.85,0.907,0.7365,2025-08-09 02:00:00,2025-12-28 23:45:00
random_forest,72,0.7186,1.0957,0.3946,129.0708,16702,0.85,0.753,0.6787,2025-08-09 02:00:00,2025-12-28 23:45:00
xgboost,72,0.7307,1.1082,0.3807,129.0324,16702,0.85,0.77,0.6834,2025-08-09 02:00:00,2025-12-28 23:45:00
