model,horizon_hours,mae,rmse,r2,mape,n_samples,coverage_target,coverage_q,coverage_measured,test_period_start,test_period_end
persistence,1,12.5164,20.5497,0.6725,25.6592,17045,0.85,21.3,0.835,2025-08-09 16:00:00,2025-12-31 23:45:00
random_forest,1,10.1165,16.1257,0.7983,23.1058,17045,0.85,18.21,0.8565,2025-08-09 16:00:00,2025-12-31 23:45:00
xgboost,1,9.9506,15.8213,0.8059,22.5495,17045,0.85,17.514,0.8455,2025-08-09 16:00:00,2025-12-31 23:45:00
persistence,6,23.445,35.0913,0.0458,50.3293,17020,0.85,37.45,0.7977,2025-08-09 16:00:00,2025-12-31 18:45:00
random_forest,6,15.1855,24.2416,0.5447,34.4716,17020,0.85,23.157,0.8147,2025-08-09 16:00:00,2025-12-31 18:45:00
xgboost,6,14.5102,23.076,0.5874,33.8683,17020,0.85,22.724,0.8189,2025-08-09 16:00:00,2025-12-31 18:45:00
persistence,12,24.7681,36.6476,-0.04,55.7558,16990,0.85,40.175,0.814,2025-08-09 16:00:00,2025-12-31 12:15:00
random_forest,12,15.7548,25.3724,0.5015,35.9306,16990,0.85,24.651,0.8218,2025-08-09 16:00:00,2025-12-31 12:15:00
xgboost,12,16.2313,25.2851,0.5049,37.3791,16990,0.85,25.205,0.8097,2025-08-09 16:00:00,2025-12-31 12:15:00
persistence,24,14.9834,24.9733,0.5174,33.7876,16930,0.85,27.498,0.8535,2025-08-09 16:00:00,2025-12-31 00:30:00
random_forest,24,15.9807,25.3118,0.5043,37.4577,16930,0.85,26.862,0.8359,2025-08-09 16:00:00,2025-12-31 00:30:00
xgboost,24,16.1094,25.3996,0.5008,37.5498,16930,0.85,24.721,0.8136,2025-08-09 16:00:00,2025-12-31 00:30:00
persistence,48,16.8719,27.0487,0.4357,37.2175,16810,0.85,30.594,0.8452,2025-08-09 16:00:00,2025-12-30 00:00:00
random_forest,48,18.889,29.8107,0.3145,44.6525,16810,0.85,27.985,0.8109,2025-08-09 16:00:00,2025-12-30 00:00:00
xgboost,48,21.2417,31.7068,0.2246,48.9888,16810,0.85,30.924,0.7894,2025-08-09 16:00:00,2025-12-30 00:00:00
persistence,72,17.8518,28.5489,0.3731,38.9825,16690,0.85,32.844,0.8494,2025-08-09 16:00:00,2025-12-29 00:15:00
random_forest,72,18.7739,27.6524,0.4118,47.8913,16690,0.85,29.665,0.8161,2025-08-09 16:00:00,2025-12-29 00:15:00
xgboost,72,20.7111,30.3396,0.2919,50.248,16690,0.85,30.099,0.7859,2025-08-09 16:00:00,2025-12-29 00:15:00
