model,horizon_hours,mae,rmse,r2,mape,n_samples,coverage_target,coverage_q,coverage_measured,test_period_start,test_period_end
persistence,1,11.0144,22.8111,0.4638,71.1033,16955,0.85,23.18,0.8549,2025-08-10 16:00:00,2025-12-31 23:30:00
random_forest,1,6.5582,11.4045,0.866,67.5971,16955,0.85,17.112,0.9116,2025-08-10 16:00:00,2025-12-31 23:30:00
xgboost,1,6.6722,11.255,0.8695,69.6672,16955,0.85,17.318,0.9112,2025-08-10 16:00:00,2025-12-31 23:30:00
persistence,6,26.393,46.0335,-1.1812,260.9958,16930,0.85,53.777,0.8181,2025-08-10 16:00:00,2025-12-31 18:45:00
random_forest,6,10.6144,18.4082,0.6512,142.5685,16930,0.85,24.156,0.8976,2025-08-10 16:00:00,2025-12-31 18:45:00
xgboost,6,10.2232,16.5261,0.7189,125.4218,16930,0.85,26.088,0.9119,2025-08-10 16:00:00,2025-12-31 18:45:00
persistence,12,28.8104,47.6819,-1.3373,352.4416,16900,0.85,62.739,0.8353,2025-08-10 16:00:00,2025-12-31 12:00:00
random_forest,12,10.1821,16.6925,0.7136,132.1655,16900,0.85,24.436,0.9046,2025-08-10 16:00:00,2025-12-31 12:00:00
xgboost,12,10.2228,16.7296,0.7123,127.2335,16900,0.85,26.022,0.916,2025-08-10 16:00:00,2025-12-31 12:00:00
persistence,24,10.6153,20.1318,0.5843,82.8412,16840,0.85,28.725,0.8996,2025-08-10 16:00:00,2025-12-31 00:45:00
random_forest,24,10.5195,16.9084,0.7067,143.7329,16840,0.85,27.695,0.9262,2025-08-10 16:00:00,2025-12-31 00:45:00
xgboost,24,10.6513,16.9909,0.7039,137.8602,16840,0.85,27.263,0.9235,2025-08-10 16:00:00,2025-12-31 00:45:00
persistence,48,11.841,21.4368,0.5314,98.3174,16720,0.85,33.35,0.9074,2025-08-10 16:00:00,2025-12-30 00:15:00
random_forest,48,12.5081,19.0208,0.631,171.07,16720,0.85,29.7,0.9078,2025-08-10 16:00:00,2025-12-30 00:15:00
xgboost,48,12.0719,18.6468,0.6454,153.8912,16720,0.85,29.507,0.9142,2025-08-10 16:00:00,2025-12-30 00:15:00
persistence,72,12.9228,22.8235,0.4721,114.1854,16600,0.85,35.625,0.9059,2025-08-10 16:00:00,2025-12-29 00:45:00
random_forest,72,13.2934,20.2129,0.5859,184.7371,16600,0.85,32.9,0.9156,2025-08-10 16:00:00,2025-12-29 00:45:00
xgboost,72,12.6219,19.0864,0.6308,162.3144,16600,0.85,32.915,0.9253,2025-08-10 16:00:00,2025-12-29 00:45:00
