model,horizon_hours,mae,rmse,r2,mape,n_samples,coverage_target,coverage_q,coverage_measured,test_period_start,test_period_end
persistence,1,56.1364,88.0921,0.7539,29.8903,16921,0.85,73.0,0.7523,2025-08-08 21:00:00,2025-12-31 23:45:00
random_forest,1,46.0809,70.1383,0.844,29.7053,16921,0.85,65.718,0.7757,2025-08-08 21:00:00,2025-12-31 23:45:00
xgboost,1,45.9599,69.4911,0.8469,29.7163,16921,0.85,63.282,0.7638,2025-08-08 21:00:00,2025-12-31 23:45:00
persistence,6,99.633,147.5553,0.3096,53.4923,16896,0.85,124.0,0.7221,2025-08-08 21:00:00,2025-12-31 18:45:00
random_forest,6,66.6956,95.9541,0.7081,46.4105,16896,0.85,84.858,0.725,2025-08-08 21:00:00,2025-12-31 18:45:00
xgboost,6,64.0728,93.173,0.7247,44.1689,16896,0.85,83.02,0.7366,2025-08-08 21:00:00,2025-12-31 18:45:00
persistence,12,101.7178,150.3181,0.2833,58.1192,16866,0.85,126.75,0.7207,2025-08-08 21:00:00,2025-12-31 12:45:00
random_forest,12,73.0341,106.1046,0.6429,50.2424,16866,0.85,90.886,0.7216,2025-08-08 21:00:00,2025-12-31 12:45:00
xgboost,12,72.1526,103.6527,0.6592,50.4825,16866,0.85,87.121,0.7053,2025-08-08 21:00:00,2025-12-31 12:45:00
persistence,24,84.3984,124.3742,0.5087,54.0028,16806,0.85,110.0,0.7365,2025-08-08 21:00:00,2025-12-31 00:30:00
random_forest,24,75.9642,108.2192,0.6281,52.8585,16806,0.85,96.194,0.7236,2025-08-08 21:00:00,2025-12-31 00:30:00
xgboost,24,77.4118,110.7099,0.6107,52.2503,16806,0.85,95.366,0.7171,2025-08-08 21:00:00,2025-12-31 00:30:00
persistence,48,94.4367,137.4531,0.4003,57.0227,16686,0.85,126.0,0.7448,2025-08-08 21:00:00,2025-12-30 00:45:00
random_forest,48,87.8502,121.8149,0.529,62.451,16686,0.85,105.468,0.695,2025-08-08 21:00:00,2025-12-30 00:45:00
xgboost,48,89.8181,124.6156,0.5071,61.5596,16686,0.85,104.922,0.682,2025-08-08 21:00:00,2025-12-30 00:45:00
persistence,72,99.9641,143.3926,0.349,63.7741,16566,0.85,137.0,0.7471,2025-08-08 21:00:00,2025-12-29 00:45:00
random_forest,72,93.6913,130.2705,0.4627,66.0501,16566,0.85,104.698,0.6695,2025-08-08 21:00:00,2025-12-29 00:45:00
xgboost,72,93.5698,129.3941,0.4699,65.8738,16566,0.85,108.009,0.6786,2025-08-08 21:00:00,2025-12-29 00:45:00
