model,horizon_hours,mae,rmse,r2,mape,n_samples,test_period_start,test_period_end
persistence,1,32.3619,53.1059,0.8204,32.5966,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
random_forest,1,26.6079,43.502,0.8795,32.1961,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
xgboost,1,26.6794,43.5316,0.8793,32.1734,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
gru,1,58.5216,102.0706,0.3364,41.58,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
persistence,6,64.5241,102.5815,0.3341,58.5797,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
random_forest,6,42.462,67.2098,0.7142,48.4057,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
xgboost,6,40.4654,64.1945,0.7392,47.2583,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
gru,6,66.3918,109.6557,0.2391,54.1204,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
persistence,12,71.9347,111.8704,0.1998,65.8929,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
random_forest,12,49.3984,77.98,0.6112,55.2728,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
xgboost,12,44.739,70.4495,0.6827,52.4783,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
gru,12,73.49,117.6283,0.1153,59.8884,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
persistence,24,52.8071,82.8919,0.5616,55.4589,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
random_forest,24,50.3686,78.6966,0.6049,59.0327,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
xgboost,24,49.7608,77.6635,0.6152,57.0511,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
gru,24,90.9783,137.7362,-0.2104,68.595,15767,2025-08-10 03:00:00,2025-12-31 23:45:00
persistence,48,60.7825,96.2154,0.4101,60.1048,15650,2025-08-10 03:00:00,2025-12-30 23:45:00
random_forest,48,59.6024,90.8073,0.4745,70.572,15650,2025-08-10 03:00:00,2025-12-30 23:45:00
xgboost,48,57.5176,88.0054,0.5064,67.0392,15650,2025-08-10 03:00:00,2025-12-30 23:45:00
gru,48,108.2495,154.6058,-0.5233,93.3863,15650,2025-08-10 03:00:00,2025-12-30 23:45:00
persistence,72,64.6004,101.6986,0.3541,65.0568,15551,2025-08-10 03:00:00,2025-12-29 23:45:00
random_forest,72,62.0159,96.6355,0.4168,70.3075,15551,2025-08-10 03:00:00,2025-12-29 23:45:00
xgboost,72,62.283,96.003,0.4245,69.1634,15551,2025-08-10 03:00:00,2025-12-29 23:45:00
gru,72,73.6582,115.1719,0.1717,67.6149,15551,2025-08-10 03:00:00,2025-12-29 23:45:00
