model,horizon_hours,mae,rmse,r2,mape,n_samples,coverage_target,coverage_q,coverage_measured,test_period_start,test_period_end
persistence,1,4.0768,9.7348,0.6798,39.6829,16733,0.85,7.925,0.8776,2025-08-08 12:00:00,2025-12-31 23:45:00
random_forest,1,4.5739,9.7041,0.6818,62.6916,16733,0.85,8.057,0.8673,2025-08-08 12:00:00,2025-12-31 23:45:00
xgboost,1,4.6853,9.9603,0.6648,64.5875,16733,0.85,8.096,0.8614,2025-08-08 12:00:00,2025-12-31 23:45:00
persistence,6,7.5586,14.8301,0.2575,87.8355,16708,0.85,13.35,0.864,2025-08-08 12:00:00,2025-12-31 18:45:00
random_forest,6,7.2339,13.3705,0.3965,112.842,16708,0.85,11.747,0.8442,2025-08-08 12:00:00,2025-12-31 18:45:00
xgboost,6,7.1407,13.3462,0.3987,111.2787,16708,0.85,11.984,0.8541,2025-08-08 12:00:00,2025-12-31 18:45:00
persistence,12,8.8468,16.7448,0.0541,120.586,16678,0.85,16.692,0.8771,2025-08-08 12:00:00,2025-12-31 12:15:00
random_forest,12,7.686,13.9203,0.3463,122.8748,16678,0.85,12.518,0.8442,2025-08-08 12:00:00,2025-12-31 12:15:00
xgboost,12,7.6822,14.0193,0.337,122.0182,16678,0.85,12.693,0.85,2025-08-08 12:00:00,2025-12-31 12:15:00
persistence,24,9.0525,17.5881,-0.0418,114.4222,16618,0.85,14.05,0.8353,2025-08-08 12:00:00,2025-12-31 00:45:00
random_forest,24,8.006,14.2901,0.3123,128.9096,16618,0.85,12.305,0.8263,2025-08-08 12:00:00,2025-12-31 00:45:00
xgboost,24,8.1298,14.5714,0.285,124.4046,16618,0.85,12.525,0.8315,2025-08-08 12:00:00,2025-12-31 00:45:00
persistence,48,9.9912,18.9992,-0.2109,137.5105,16498,0.85,14.425,0.8234,2025-08-08 12:00:00,2025-12-30 00:15:00
random_forest,48,8.8616,15.4345,0.2009,146.7371,16498,0.85,13.245,0.8231,2025-08-08 12:00:00,2025-12-30 00:15:00
xgboost,48,8.7479,15.2748,0.2173,145.7788,16498,0.85,13.368,0.8251,2025-08-08 12:00:00,2025-12-30 00:15:00
persistence,72,10.4995,19.4638,-0.2644,149.5876,16378,0.85,15.575,0.8309,2025-08-08 12:00:00,2025-12-29 00:45:00
random_forest,72,9.1311,15.7705,0.1699,159.3829,16378,0.85,13.746,0.8233,2025-08-08 12:00:00,2025-12-29 00:45:00
xgboost,72,9.2037,15.8476,0.1618,150.8771,16378,0.85,13.964,0.8213,2025-08-08 12:00:00,2025-12-29 00:45:00
